route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000083_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000094_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000134_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000087_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000277_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000665_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000668_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000157_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000079_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000090_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1082_2_20260314,dentetsu_1_4_20260314,dentetsu_4_401000176_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000107_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000101_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000220_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000160_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000093_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000078_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000285_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000186_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000416_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000196_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000270_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000314_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000119_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000321_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000183_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000195_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000236_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_1_20260314,dentetsu_1_101000218_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000023_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000043_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000166_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000100_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000126_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000055_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000204_20260314,菊池温泉・市民広場前,,,,,,,1
